volcan_id,time_to_eruption
1000015382,16258654.00000002
1000554676,6347792.000000014
1000745424,5120693.000000009
1001461087,10393161.000000002
1001732002,20549733.000000004
1002275321,31353326.0
1002575641,9924306.999999996
1002609771,44906448.99999999
1002624617,8004889.999999995
1002789083,7581130.9999999935
1002825126,36755640.0
1003154738,1891687.9999999893
1003175827,21994554.0
1003411703,36831703.0
1003520023,25349492.999999996
10035828,21697259.000000004
1004346803,213390.00000000664
1004557332,35397029.00000001
1004561781,21965310.000000015
1004609129,32264195.0
100519902,4357018.000000014
1005472094,30290303.000000007
100610446,27292311.0
1006345280,9680603.99999997
1006842231,13146833.0
1007019534,8705748.0
1007996426,45018989.0
1009126824,245735.00000000664
1009442335,33710896.99999999
1009749143,4091055.0000000102
1010002096,34570257.000000015
1010561361,35512645.0
1010680130,34540645.0
1010725931,46629409.999999985
1010756593,30695791.0
1010864137,33693025.99999999
1011078321,15946474.0
1011133267,29267656.999999996
1013196130,5182237.0
1013226239,15687735.000000002
1013789689,37056936.99999999
1014562599,41018704.99999998
1014585637,23961047.0
1015033166,14697508.0
1015092282,41052996.00000001
1016110949,21618953.999999996
101616763,8785675.0
1016242026,22762641.00000001
1016727429,38082962.0
1016932159,1428120.9999999981
1016956864,20704604.000000004
1017830158,4800251.0
1018207090,26111068.000000007
1018435910,17275464.000000004
1018756523,29754498.0
1019052648,22465585.999999985
1019955915,31097762.000000004
1020283272,16657318.000000004
1021479157,23319871.999999996
1022420757,12329908.999999959
1023111602,4839778.9999999795
1023245702,16294901.000000002
102338326,4598189.000000002
1023559523,1245749.0000000033
1023589533,4423703.00000001
1023927094,17627859.000000004
1024265947,19224019.999999996
1024522044,21496193.999999996
1024855809,40938060.000000075
1025401939,6467224.000000003
1025870964,28871047.999999993
1026930172,27668379.00000001
1027307874,7822077.000000002
1027457977,34398491.0
1028325789,47473541.0
1028350709,8229339.000000001
1028796869,1797435.9999999844
1028829115,7435921.999999995
1030109165,2136729.999999999
1031098571,743089.0000000043
1031775369,37403436.0
1032429253,38783388.999999985
1032570249,14205791.000000041
1032987045,26388292.0
1033287069,16097863.999999927
1033677406,30736074.999999944
1033835311,40065339.0
1034203889,29384364.0
1036403851,4719062.000000043
1037601470,13071604.000000004
1038366766,13507918.999999996
1038903770,12844995.000000019
1038918048,37930321.00000001
1039038516,26788256.0
1039242162,45106551.00000001
1039583299,2754389.9999999935
1040017632,40389284.00000004
1040427269,20682439.00000001
1041846634,22245477.0
1041878888,19763961.0
1041963422,17286637.999999996
1042260671,45560318.0
1042743186,41542279.99999999
1042857837,21508437.0
1043816873,15217883.000000007
1044404474,9441051.000000011
1044700555,30282601.00000001
1044996306,20478571.999999996
1045737293,20476500.99999992
1046153021,3265993.0000000014
1047097201,2212846.999999995
1047238065,1756341.0000000037
1047698781,42753277.0
1048009361,17128163.0
1048073965,25602919.0
1048300101,16549824.0
1049186697,12851508.999999993
1049342028,20039978.0
104958377,12960506.999999998
1049892705,23385989.000000004
1051215459,39027962.0
1051299690,37875002.0
1051817564,35389962.00000001
1052073345,9311783.000000004
1052075589,30757334.000000015
