volcan_id,time_to_eruption,media_sensor__sum_values,media_sensor__median,media_sensor__mean,media_sensor__standard_deviation
1000015382,16258654,150080066.53787878,2496.583333333333,2501.292754085412,1446.327995476579
1000554676,6347792,150683684.16666666,2511.6666666666665,2511.3528802297737,1468.6431639834138
1000745424,5120693,150218683.71212122,2510.333333333333,2503.6030018186566,1462.4359322264825
1001461087,10393161,149967718.91666666,2486.833333333333,2499.4203249390284,1453.840317447435
1001732002,20549733,150170465.00000003,2520.75,2502.7993700105003,1456.9096674676855
1002275321,31353326,179988662.2,2992.5,2999.7610406493222,1734.7034906541817
1002575641,9924307,150392191.62878788,2489.083333333333,2506.494752233928,1460.1060839207018
1002609771,44906449,180017483.8,3000.4,3000.241392643456,1742.363144584148
1002624617,8004890,163673886.81818178,2699.818181818182,2727.85264942554,1588.3253096298397
1002789083,7581131,163687144.28181818,2724.181818181818,2728.073603470245,1580.8905156947958
1002825126,36755640,150025957.91666666,2502.4166666666665,2500.390958761798,1444.4464431211543
1003154738,1891688,200135669.77777776,3327.0,3335.53890398123,1928.504643036115
1003175827,21994554,163813918.54545453,2702.090909090909,2730.186472649698,1601.6151301907753
1003411703,36831703,150201709.33333334,2494.1666666666665,2503.320100220552,1467.8482292408971
1003520023,25349493,150053447.16666666,2501.833333333333,2500.8491052926893,1456.3619190653903
10035828,21697259,150463577.50757575,2501.083333333333,2507.684497051312,1465.7316707831949
1004346803,213390,150099967.25,2491.5,2501.624427092882,1451.4657603660876
1004557332,35397029,163635971.4545455,2737.7272727272725,2727.2207372301377,1577.7497128197886
1004561781,21965310,150017041.84848487,2506.75,2500.24236010208,1459.4734204243157
1004609129,32264195,150068872.08333334,2507.1666666666665,2501.1061829525065,1443.2662144461904
100519902,4357018,150079875.0833333,2512.333333333333,2501.2895632295013,1449.390833543052
1005472094,30290303,150126632.08333334,2503.6666666666665,2502.068833574996,1445.953217945109
100610446,27292311,180133679.0,2991.1,3002.177947034216,1735.1490630643643
1006345280,9680604,191866322.17777777,3053.5,3197.718740983946,1920.91515393206
1006842231,13146833,180038656.5,2994.4,3000.5942650955817,1736.651158902525
1007019534,8705748,150213295.16666666,2499.833333333333,2503.5131942245407,1450.6676780588773
1007996426,45018989,150215211.25000003,2510.5,2503.545128414527,1450.6892973500674
1009126824,245735,201946935.2361111,3398.555555555556,3365.72615849921,1949.312398372629
1009442335,33710897,150505233.09848484,2498.1666666666665,2508.378745328992,1468.4934453160877
