volcan_id,media_sensor__median,media_sensor__standard_deviation,media_sensor__variance,media_sensor__minimum,time_to_eruption
1000015382,2496.583333333333,1446.327995476579,2091864.6704992992,-191.75,16258654
1000554676,2511.6666666666665,1468.6431639834138,2156912.743115213,-906.5,6347792
1000745424,2510.333333333333,1462.4359322264825,2138718.855867141,-883.3333333333334,5120693
1001461087,2486.833333333333,1453.840317447435,2113651.6686356585,-281.4166666666667,10393161
1001732002,2520.75,1456.9096674676855,2122585.7791608023,-323.5833333333333,20549733
1002275321,2992.5,1734.7034906541817,3009196.2004878027,-306.5,31353326
1002575641,2489.083333333333,1460.1060839207018,2131909.776302248,-617.5,9924307
1002609771,3000.4,1742.363144584148,3035829.3276051604,-767.9,44906449
1002624617,2699.818181818182,1588.3253096298397,2522777.2892107256,-401.3636363636364,8004890
1002789083,2724.181818181818,1580.8905156947958,2499214.8226137576,-517.8181818181819,7581131
1002825126,2502.4166666666665,1444.4464431211543,2086425.5270453547,-132.08333333333334,36755640
1003154738,3327.0,1928.504643036115,3719130.158211853,-308.44444444444446,1891688
1003175827,2702.090909090909,1601.6151301907753,2565171.0252560144,-611.2727272727273,21994554
1003411703,2494.1666666666665,1467.8482292408971,2154578.4240856376,-486.8333333333333,36831703
1003520023,2501.833333333333,1456.3619190653903,2120990.039303826,-447.0833333333333,25349493
10035828,2501.083333333333,1465.7316707831949,2148369.330736895,-653.1666666666666,21697259
1004346803,2491.5,1451.4657603660876,2106752.853515105,-328.0,213390
1004557332,2737.7272727272725,1577.7497128197886,2489294.156302925,-493.0,35397029
1004561781,2506.75,1459.4734204243157,2130062.6649250514,-590.5833333333334,21965310
1004609129,2507.1666666666665,1443.2662144461904,2083017.3657618363,-324.0833333333333,32264195
100519902,2512.333333333333,1449.390833543052,2100733.7883586227,-304.5,4357018
1005472094,2503.6666666666665,1445.953217945109,2090780.708485816,-157.16666666666666,30290303
100610446,2991.1,1735.1490630643643,3010742.271053141,-472.1,27292311
1006345280,3053.5,1920.91515393206,3689915.02860583,-145.0,9680604
1006842231,2994.4,1736.651158902525,3015957.247717482,-554.8,13146833
1007019534,2499.833333333333,1450.6676780588773,2104436.7121647345,-518.3333333333334,8705748
1007996426,2510.5,1450.6892973500674,2104499.437446032,-403.9166666666667,45018989
1009126824,3398.555555555556,1949.312398372629,3799818.826449252,-626.2222222222222,245735
1009442335,2498.1666666666665,1468.4934453160877,2156472.998936313,-470.1666666666667,33710897
1009749143,2505.083333333333,1454.013066896525,2114153.9987058383,-1116.0833333333333,4091055
1010002096,2497.833333333333,1447.917349171261,2096464.6500311324,-140.16666666666666,34570257
1010561361,3003.9,1733.8312443392874,3006170.783847121,-471.5,35512645
1010680130,2720.181818181818,1578.1761950617006,2490640.102659427,-377.8181818181818,34540645
1010725931,2495.4166666666665,1448.102574632857,2097001.0666583104,-291.0833333333333,46629410
1010756593,2503.1666666666665,1444.5355284390946,2086682.892922814,-340.0833333333333,30695791
1010864137,3002.9,1745.1685352801871,3045613.216531994,-865.5,33693026
1011078321,2509.583333333333,1449.399280082922,2100758.273104893,-305.4166666666667,15946474
1011133267,2497.1666666666665,1445.207125774759,2088623.6363901405,-141.66666666666666,29267657
1013196130,2499.9166666666665,1493.7168586694609,2231190.053873362,-1441.0833333333333,5182237
1013226239,2759.5454545454545,1582.2232937812323,2503430.551383932,-337.3636363636364,15687735
1013789689,2785.454545454545,1600.792348789864,2562536.1439441694,-1541.3636363636365,37056937
1014562599,2487.083333333333,1462.997749955542,2140362.4163749786,-329.5833333333333,41018705
1014585637,2504.083333333333,1452.0664482766392,2108496.970210734,-510.8333333333333,23961047
1015033166,2988.8,1735.5455315762852,3012118.29217441,-616.6,14697508
1015092282,2482.75,1451.037261337243,2105509.1337890867,-283.3636363636364,41052996
1016110949,2515.1666666666665,1448.5868262964775,2098403.7933197017,-237.41666666666663,21618954
101616763,2981.6,1737.7796551203348,3019878.12975015,-397.1,8785675
1016242026,2987.0,1735.167973483623,3010807.8962032627,-132.0,22762641
1016727429,2750.1666666666665,1428.078425614714,2039407.9897062,-356.6666666666667,38082962
1016932159,2716.909090909091,1586.6228275687838,2517371.9969623624,-711.9090909090909,1428121
1016956864,2508.833333333333,1449.2510974235747,2100328.7433834355,-316.1666666666667,20704604
1017830158,2540.25,1498.270270303628,2244813.8028757065,-2882.083333333333,4800251
1018207090,2740.0,1579.1432904914122,2493693.531904045,-292.8181818181818,26111068
1018435910,2492.833333333333,1454.7968384721246,2116433.841228489,-476.6666666666667,17275464
1018756523,2500.75,1444.122438926392,2085489.618610711,-88.41666666666667,29754498
1019052648,2729.7272727272725,1580.864208402498,2499131.6454080567,-426.9090909090909,22465586
1019955915,3015.2,1735.6652454717168,3012533.844338395,-338.1,31097762
1020283272,2721.818181818182,1579.548336795124,2494972.9482722427,-447.09090909090907,16657318
1021479157,2705.454545454545,1604.6053575147173,2574758.3533649337,-689.4545454545455,23319872
1022420757,2993.3,1741.8528692549778,3034051.418131799,-697.8,12329909
1023111602,2507.6666666666665,1458.1503052599794,2126202.3127297712,-427.5833333333333,4839779
1023245702,2983.4,1734.6566801750262,3009033.798075843,-249.1,16294901
102338326,2510.333333333333,1473.7761863529042,2172016.2474609106,-556.75,4598189
1023559523,2712.7272727272725,1590.2052788028109,2528752.8287323257,-1247.5454545454545,1245749
1023589533,2476.583333333333,1450.8549503156114,2104980.086855315,-597.75,4423703
1023927094,2507.583333333333,1448.2692583008018,2097483.8445391543,-179.41666666666666,17627859
1024265947,2501.333333333333,1444.4517554079707,2086440.873701168,-98.75,19224020
1024522044,3002.5,1733.507408143881,3005047.934089716,-140.0,21496194
1024855809,2503.583333333333,1445.1151869816902,2088357.903645125,-406.75,40938060
1025401939,2933.5,1626.6179986777174,2645886.1136223027,-2082.5,6467224
1025870964,2496.9166666666665,1450.2864021196458,2103330.648173147,-194.66666666666663,28871048
1026930172,2732.3636363636365,1593.9397449623737,2540643.9105707165,-679.0,27668379
1027307874,2503.4166666666665,1495.214828038702,2235667.381986805,-357.6666666666667,7822077
1027457977,2529.090909090909,1478.481907319056,2185908.750269794,-251.91666666666663,34398491
1028325789,2435.5,1441.8887935133116,2079043.2928592733,-266.9166666666667,47473541
1028350709,2757.2727272727275,1589.5558669894292,2526687.854280516,-352.27272727272725,8229339
1028796869,2505.583333333333,1451.555373180329,2107013.001408684,-472.75,1797436
1028829115,2727.090909090909,1583.4369455153042,2507272.5604228363,-545.6363636363636,7435922
1030109165,2516.5,1461.2821740656327,2135345.592241982,-632.0,2136730
1031098571,2529.75,1772.870166306023,3143068.626577946,-3865.818181818182,743089
1031775369,3008.9,1736.4262907632087,3015176.263253676,-285.0,37403436
1032429253,2728.2727272727275,1579.6857564756947,2495407.089212188,-398.27272727272725,38783389
1032570249,2749.7272727272725,1579.9313789892378,2496183.1623148345,-570.6363636363636,14205791
1032987045,2728.5454545454545,1592.9810511788369,2537588.629414832,-746.2727272727273,26388292
1033287069,3055.7,1735.5455529487313,3012118.366360117,-461.3,16097864
1033677406,2510.9166666666665,1447.0307048674724,2093897.8608292544,-205.91666666666663,30736075
1033835311,2717.0,1579.7424959652908,2495586.353558647,-366.27272727272725,40065339
1034203889,2507.083333333333,1443.4309445222818,2083492.8916044864,-169.75,29384364
1036403851,2493.5,1453.2619758252738,2111970.370379579,-316.25,4719062
1037601470,2490.75,1445.33842214144,2089003.154518308,-42.333333333333336,13071604
1038366766,2489.583333333333,1461.4554503429663,2135852.0333371623,-529.4166666666666,13507919
