time_to_eruption,volcan_id,media_sensor__median,media_sensor__maximum,media_sensor__minimum
16258654,1000015382,2496.583333333333,5308.0,-191.75
6347792,1000554676,2511.6666666666665,5729.416666666667,-906.5
5120693,1000745424,2510.333333333333,5514.666666666667,-883.3333333333334
10393161,1001461087,2486.833333333333,5433.5,-281.4166666666667
20549733,1001732002,2520.75,5352.666666666667,-323.5833333333333
31353326,1002275321,2992.5,6158.1,-306.5
9924307,1002575641,2489.083333333333,5885.181818181818,-617.5
44906449,1002609771,3000.4,6351.5,-767.9
8004890,1002624617,2699.818181818182,5938.272727272727,-401.3636363636364
7581131,1002789083,2724.181818181818,5863.090909090909,-517.8181818181819
36755640,1002825126,2502.4166666666665,5097.25,-132.08333333333334
1891688,1003154738,3327.0,6906.888888888889,-308.44444444444446
21994554,1003175827,2702.090909090909,5893.090909090909,-611.2727272727273
36831703,1003411703,2494.1666666666665,5593.416666666667,-486.8333333333333
25349493,1003520023,2501.833333333333,6729.166666666667,-447.0833333333333
21697259,10035828,2501.083333333333,6153.090909090909,-653.1666666666666
213390,1004346803,2491.5,5432.5,-328.0
35397029,1004557332,2737.7272727272725,5689.818181818182,-493.0
21965310,1004561781,2506.75,5799.666666666667,-590.5833333333334
32264195,1004609129,2507.1666666666665,5441.333333333333,-324.0833333333333
4357018,100519902,2512.333333333333,5287.666666666667,-304.5
30290303,1005472094,2503.6666666666665,5146.833333333333,-157.16666666666666
27292311,100610446,2991.1,6314.9,-472.1
9680604,1006345280,3053.5,6808.111111111111,-145.0
13146833,1006842231,2994.4,6653.8,-554.8
8705748,1007019534,2499.833333333333,5431.25,-518.3333333333334
45018989,1007996426,2510.5,5310.75,-403.9166666666667
245735,1009126824,3398.555555555556,7833.5,-626.2222222222222
33710897,1009442335,2498.1666666666665,5871.454545454545,-470.1666666666667
4091055,1009749143,2505.083333333333,5499.25,-1116.0833333333333
34570257,1010002096,2497.833333333333,5236.75,-140.16666666666666
35512645,1010561361,3003.9,6125.9,-471.5
34540645,1010680130,2720.181818181818,5739.090909090909,-377.8181818181818
46629410,1010725931,2495.4166666666665,5311.333333333333,-291.0833333333333
30695791,1010756593,2503.1666666666665,5108.916666666667,-340.0833333333333
33693026,1010864137,3002.9,6600.3,-865.5
15946474,1011078321,2509.583333333333,5458.833333333333,-305.4166666666667
29267657,1011133267,2497.1666666666665,5340.0,-141.66666666666666
5182237,1013196130,2499.9166666666665,6576.0,-1441.0833333333333
15687735,1013226239,2759.5454545454545,5904.0,-337.3636363636364
37056937,1013789689,2785.454545454545,5866.909090909091,-1541.3636363636365
41018705,1014562599,2487.083333333333,5618.818181818182,-329.5833333333333
23961047,1014585637,2504.083333333333,5343.166666666667,-510.8333333333333
14697508,1015033166,2988.8,6369.2,-616.6
41052996,1015092282,2482.75,5630.818181818182,-283.3636363636364
21618954,1016110949,2515.1666666666665,5252.333333333333,-237.41666666666663
8785675,101616763,2981.6,6409.0,-397.1
22762641,1016242026,2987.0,6326.8,-132.0
38082962,1016727429,2750.1666666666665,5128.416666666667,-356.6666666666667
1428121,1016932159,2716.909090909091,6035.363636363636,-711.9090909090909
20704604,1016956864,2508.833333333333,5486.0,-316.1666666666667
4800251,1017830158,2540.25,6013.545454545455,-2882.083333333333
26111068,1018207090,2740.0,5853.636363636364,-292.8181818181818
17275464,1018435910,2492.833333333333,5496.5,-476.6666666666667
29754498,1018756523,2500.75,5110.916666666667,-88.41666666666667
22465586,1019052648,2729.7272727272725,5752.727272727273,-426.9090909090909
31097762,1019955915,3015.2,6176.7,-338.1
16657318,1020283272,2721.818181818182,5785.454545454545,-447.09090909090907
23319872,1021479157,2705.454545454545,6110.0,-689.4545454545455
12329909,1022420757,2993.3,6224.9,-697.8
4839779,1023111602,2507.6666666666665,5370.75,-427.5833333333333
16294901,1023245702,2983.4,6177.4,-249.1
4598189,102338326,2510.333333333333,5738.636363636364,-556.75
1245749,1023559523,2712.7272727272725,6236.363636363636,-1247.5454545454545
4423703,1023589533,2476.583333333333,5264.833333333333,-597.75
17627859,1023927094,2507.583333333333,5187.583333333333,-179.41666666666666
19224020,1024265947,2501.333333333333,5160.25,-98.75
21496194,1024522044,3002.5,6158.9,-140.0
40938060,1024855809,2503.583333333333,5220.333333333333,-406.75
6467224,1025401939,2933.5,6604.1,-2082.5
28871048,1025870964,2496.9166666666665,5467.583333333333,-194.66666666666663
27668379,1026930172,2732.3636363636365,6212.454545454545,-679.0
7822077,1027307874,2503.4166666666665,5690.818181818182,-357.6666666666667
34398491,1027457977,2529.090909090909,5661.090909090909,-251.91666666666663
47473541,1028325789,2435.5,5115.833333333333,-266.9166666666667
8229339,1028350709,2757.2727272727275,6181.272727272727,-352.27272727272725
1797436,1028796869,2505.583333333333,5474.083333333333,-472.75
7435922,1028829115,2727.090909090909,5731.909090909091,-545.6363636363636
2136730,1030109165,2516.5,5788.166666666667,-632.0
743089,1031098571,2529.75,7983.0,-3865.818181818182
37403436,1031775369,3008.9,6217.9,-285.0
38783389,1032429253,2728.2727272727275,5891.636363636364,-398.27272727272725
14205791,1032570249,2749.7272727272725,5715.909090909091,-570.6363636363636
26388292,1032987045,2728.5454545454545,5971.545454545455,-746.2727272727273
16097864,1033287069,3055.7,6610.6,-461.3
30736075,1033677406,2510.9166666666665,5151.583333333333,-205.91666666666663
40065339,1033835311,2717.0,5689.545454545455,-366.27272727272725
29384364,1034203889,2507.083333333333,5210.25,-169.75
4719062,1036403851,2493.5,5513.416666666667,-316.25
13071604,1037601470,2490.75,5191.0,-42.333333333333336
13507919,1038366766,2489.583333333333,5887.272727272727,-529.4166666666666
12844995,1038903770,2501.1666666666665,5989.454545454545,-288.5
37930321,1038918048,2514.4166666666665,5487.75,-785.0
26788256,1039038516,2745.181818181818,6090.0,-676.6363636363636
45106551,1039242162,2505.5,5216.75,-182.91666666666663
2754390,1039583299,2506.083333333333,5370.666666666667,-415.9166666666667
40389284,1040017632,2505.4166666666665,5256.5,-794.5454545454545
20682439,1040427269,2487.6666666666665,5638.916666666667,-581.5833333333334
22245477,1041846634,2493.75,5654.454545454545,-870.75
19763961,1041878888,2541.1666666666665,5286.75,-425.8333333333333
17286638,1041963422,2738.6363636363635,5898.727272727273,-399.9090909090909
45560318,1042260671,3341.555555555556,7041.444444444444,-368.55555555555554
41542280,1042743186,2971.3,6167.8,-308.1
21508437,1042857837,2559.4166666666665,5495.5,-422.1666666666667
15217883,1043816873,2734.6363636363635,6299.454545454545,-779.2727272727273
