volcan_id,time_to_eruption,media_sensor__length,media_sensor__standard_deviation,media_sensor__root_mean_square,media_sensor__maximum
1000015382,16258654,60001.0,1446.327995476579,2889.3476966504886,5308.0
1000554676,6347792,60001.0,1468.6431639834138,2909.2621112841643,5729.416666666667
1000745424,5120693,60001.0,1462.4359322264825,2899.439057228575,5514.666666666667
1001461087,10393161,60001.0,1453.840317447435,2891.4967801043767,5433.5
1001732002,20549733,60001.0,1456.9096674676855,2895.9610608027447,5352.666666666667
1002275321,31353326,60001.0,1734.7034906541817,3465.2218545838173,6158.1
1002575641,9924307,60001.0,1460.1060839207018,2900.762954685968,5885.181818181818
1002609771,44906449,60001.0,1742.363144584148,3469.4780215093315,6351.5
1002624617,8004890,60001.0,1588.3253096298397,3156.573675076928,5938.272727272727
1002789083,7581131,60001.0,1580.8905156947958,3153.030353257781,5863.090909090909
1002825126,36755640,60001.0,1444.4464431211543,2887.625403978692,5097.25
1003154738,1891688,60001.0,1928.504643036115,3852.914473250628,6906.888888888889
1003175827,21994554,60001.0,1601.6151301907753,3165.294488779112,5893.090909090909
1003411703,36831703,60001.0,1467.8482292408971,2901.9286600903665,5593.416666666667
1003520023,25349493,60001.0,1456.3619190653903,2894.0000495416502,6729.166666666667
10035828,21697259,60001.0,1465.7316707831949,2904.625770643851,6153.090909090909
1004346803,213390,60001.0,1451.4657603660876,2892.209817378901,5432.5
1004557332,35397029,60001.0,1577.7497128197886,3150.7185062904327,5689.818181818182
1004561781,21965310,60001.0,1459.4734204243157,2895.043095391477,5799.666666666667
1004609129,32264195,60001.0,1443.2662144461904,2887.654671903324,5441.333333333333
100519902,4357018,60001.0,1449.390833543052,2890.8793242678694,5287.666666666667
1005472094,30290303,60001.0,1445.953217945109,2889.832029103622,5146.833333333333
100610446,27292311,60001.0,1735.1490630643643,3467.53726680936,6314.9
1006345280,9680604,60001.0,1920.91515393206,3730.324406140274,6808.111111111111
1006842231,13146833,60001.0,1736.651158902525,3466.9183998822323,6653.8
1007019534,8705748,60001.0,1450.6676780588773,2893.443454747491,5431.25
1007996426,45018989,60001.0,1450.6892973500674,2893.4819245079343,5310.75
1009126824,245735,60001.0,1949.312398372629,3889.464153383484,7833.5
1009442335,33710897,60001.0,1468.4934453160877,2906.6195019222178,5871.454545454545
1009749143,4091055,60001.0,1454.013066896525,2898.4444868146243,5499.25
1010002096,34570257,60001.0,1447.917349171261,2895.0425175170494,5236.75
1010561361,35512645,60001.0,1733.8312443392874,3468.403764172862,6125.9
1010680130,34540645,60001.0,1578.1761950617006,3152.825329510406,5739.090909090909
1010725931,46629410,60001.0,1448.102574632857,2891.000372758783,5311.333333333333
1010756593,30695791,60001.0,1444.5355284390946,2890.0864339686304,5108.916666666667
1010864137,33693026,60001.0,1745.1685352801871,3475.129005269173,6600.3
1011078321,15946474,60001.0,1449.399280082922,2893.578257146932,5458.833333333333
1011133267,29267657,60001.0,1445.207125774759,2891.7198397094257,5340.0
1013196130,5182237,60001.0,1493.7168586694609,2916.3612316280523,6576.0
1013226239,15687735,60001.0,1582.2232937812323,3155.941794454202,5904.0
1013789689,37056937,60001.0,1600.792348789864,3164.2295069082948,5866.909090909091
1014562599,41018705,60001.0,1462.997749955542,2913.656952698987,5618.818181818182
1014585637,23961047,60001.0,1452.0664482766392,2896.625586731432,5343.166666666667
1015033166,14697508,60001.0,1735.5455315762852,3467.475811084411,6369.2
1015092282,41052996,60001.0,1451.037261337243,2896.5509615495207,5630.818181818182
1016110949,21618954,60001.0,1448.5868262964775,2894.2797704776312,5252.333333333333
101616763,8785675,60001.0,1737.7796551203348,3471.944462178756,6409.0
1016242026,22762641,60001.0,1735.167973483623,3470.364252812623,6326.8
1016727429,38082962,60001.0,1428.078425614714,2888.680180252702,5128.416666666667
1016932159,1428121,60001.0,1586.6228275687838,3150.2132024308094,6035.363636363636
1016956864,20704604,60001.0,1449.2510974235747,2894.758216429883,5486.0
1017830158,4800251,60001.0,1498.270270303628,2940.351104377194,6013.545454545455
1018207090,26111068,60001.0,1579.1432904914122,3156.475870936516,5853.636363636364
1018435910,17275464,60001.0,1454.7968384721246,2897.2823109259944,5496.5
1018756523,29754498,60001.0,1444.122438926392,2891.008991500124,5110.916666666667
1019052648,22465586,60001.0,1580.864208402498,3155.481700143672,5752.727272727273
1019955915,31097762,60001.0,1735.6652454717168,3470.4706415616893,6176.7
1020283272,16657318,60001.0,1579.548336795124,3156.305396174034,5785.454545454545
1021479157,23319872,60001.0,1604.6053575147173,3169.514327394064,6110.0
1022420757,12329909,60001.0,1741.8528692549778,3471.4296328167507,6224.9
1023111602,4839779,60001.0,1458.1503052599794,2898.5723597465044,5370.75
1023245702,16294901,60001.0,1734.6566801750262,3471.044083629184,6177.4
102338326,4598189,60001.0,1473.7761863529042,2914.4380627685287,5738.636363636364
1023559523,1245749,60001.0,1590.2052788028109,3157.417082805762,6236.363636363636
1023589533,4423703,60001.0,1450.8549503156114,2895.304633205992,5264.833333333333
1023927094,17627859,60001.0,1448.2692583008018,2894.495985482218,5187.583333333333
1024265947,19224020,60001.0,1444.4517554079707,2892.047277132824,5160.25
1024522044,21496194,60001.0,1733.507408143881,3470.4952941250654,6158.9
1024855809,40938060,60001.0,1445.1151869816902,2891.492303458182,5220.333333333333
1025401939,6467224,60001.0,1626.6179986777174,3293.438880199166,6604.1
1025870964,28871048,60001.0,1450.2864021196458,2896.0341057395567,5467.583333333333
1026930172,27668379,60001.0,1593.9397449623737,3170.3005499510064,6212.454545454545
1027307874,7822077,60001.0,1495.214828038702,2965.0228831472346,5690.818181818182
1027457977,34398491,60001.0,1478.481907319056,2951.0922656044017,5661.090909090909
1028325789,47473541,60001.0,1441.8887935133116,2892.3547531053564,5115.833333333333
1028350709,8229339,60001.0,1589.5558669894292,3163.394659106604,6181.272727272727
1028796869,1797436,60001.0,1451.555373180329,2897.362495311038,5474.083333333333
1028829115,7435922,60001.0,1583.4369455153042,3160.044246095714,5731.909090909091
1030109165,2136730,60001.0,1461.2821740656327,2902.475796387824,5788.166666666667
1031098571,743089,60001.0,1772.870166306023,3078.382270244644,7983.0
1031775369,37403436,60001.0,1736.4262907632087,3472.275076028579,6217.9
1032429253,38783389,60001.0,1579.6857564756947,3159.439299029837,5891.636363636364
1032570249,14205791,60001.0,1579.9313789892378,3157.279701784348,5715.909090909091
1032987045,26388292,60001.0,1592.9810511788369,3163.0998609342378,5971.545454545455
1033287069,16097864,60001.0,1735.5455529487313,3475.67077257036,6610.6
1033677406,30736075,60001.0,1447.0307048674724,2894.817481470636,5151.583333333333
1033835311,40065339,60001.0,1579.7424959652908,3158.8129051461283,5689.545454545455
1034203889,29384364,60001.0,1443.4309445222818,2893.139969870309,5210.25
1036403851,4719062,60001.0,1453.2619758252738,2900.316564304076,5513.416666666667
1037601470,13071604,60001.0,1445.33842214144,2894.5719001788284,5191.0
1038366766,13507919,60001.0,1461.4554503429663,2903.555817632279,5887.272727272727
1038903770,12844995,60001.0,1469.4771182826262,2919.097576587764,5989.454545454545
1038918048,37930321,60001.0,1461.0686129794158,2907.646954795864,5487.75
1039038516,26788256,60001.0,1584.4841996794692,3152.7984564100043,6090.0
1039242162,45106551,60001.0,1447.0853712747796,2898.680320954386,5216.75
1039583299,2754390,60001.0,1450.102119532723,2897.09088751654,5370.666666666667
1040017632,40389284,60001.0,1464.83492109514,2918.293855257391,5256.5
1040427269,20682439,60001.0,1475.8050122533375,2920.06219779909,5638.916666666667
1041846634,22245477,60001.0,1462.6686637575433,2904.2203717479283,5654.454545454545
1041878888,19763961,60001.0,1452.7553364687303,2906.764414962825,5286.75
1041963422,17286638,60001.0,1581.6050622235616,3161.838729493232,5898.727272727273
1042260671,45560318,60001.0,1932.3434662767097,3861.9052074009473,7041.444444444444
1042743186,41542280,60001.0,1736.1327086229865,3474.286851496969,6167.8
1042857837,21508437,60001.0,1452.790069411166,2907.230719769861,5495.5
1043816873,15217883,60001.0,1599.0904793330778,3174.866597058595,6299.454545454545
1044404474,9441051,60001.0,1446.3004849359322,2896.2850524371624,5142.666666666667
1044700555,30282601,60001.0,1597.17600417099,3174.8357341312385,6039.090909090909
1044996306,20478572,60001.0,1449.7209020829057,2898.4331757820605,5350.833333333333
1045737293,20476501,60001.0,1454.7921812699435,2903.8775052336327,5602.818181818182
1046153021,3265993,60001.0,1446.8613755528067,2894.7985651276704,5176.333333333333
1047097201,2212847,60001.0,1458.549588378651,2902.1201488819265,5637.5
1047238065,1756341,60001.0,2177.0673400406563,3341.9585712465573,11021.75
1047698781,42753277,60001.0,1579.6203406570794,3161.6750762060465,5943.636363636364
1048009361,17128163,60001.0,1590.975600930946,3166.71395713486,6215.272727272727
1048073965,25602919,60001.0,1600.0050271298674,3176.122693051938,6274.272727272727
