volcan_id,media_sensor__sum_values,media_sensor__median,media_sensor__mean,media_sensor__standard_deviation,media_sensor__variance,media_sensor__root_mean_square,media_sensor__maximum,media_sensor__minimum,time_to_eruption
1000015382,150080066.53787878,2496.583333333333,2501.292754085412,1446.327995476579,2091864.6704992992,2889.3476966504886,5308.0,-191.75,16258654
1000554676,150683684.16666666,2511.6666666666665,2511.3528802297737,1468.6431639834138,2156912.743115213,2909.2621112841643,5729.416666666667,-906.5,6347792
1000745424,150218683.71212122,2510.333333333333,2503.6030018186566,1462.4359322264825,2138718.855867141,2899.439057228575,5514.666666666667,-883.3333333333334,5120693
1001461087,149967718.91666666,2486.833333333333,2499.4203249390284,1453.840317447435,2113651.6686356585,2891.4967801043767,5433.5,-281.4166666666667,10393161
1001732002,150170465.00000003,2520.75,2502.7993700105003,1456.9096674676855,2122585.7791608023,2895.9610608027447,5352.666666666667,-323.5833333333333,20549733
1002275321,179988662.2,2992.5,2999.7610406493222,1734.7034906541817,3009196.2004878027,3465.2218545838173,6158.1,-306.5,31353326
1002575641,150392191.62878788,2489.083333333333,2506.494752233928,1460.1060839207018,2131909.776302248,2900.762954685968,5885.181818181818,-617.5,9924307
1002609771,180017483.8,3000.4,3000.241392643456,1742.363144584148,3035829.3276051604,3469.4780215093315,6351.5,-767.9,44906449
1002624617,163673886.81818178,2699.818181818182,2727.85264942554,1588.3253096298397,2522777.2892107256,3156.573675076928,5938.272727272727,-401.3636363636364,8004890
1002789083,163687144.28181818,2724.181818181818,2728.073603470245,1580.8905156947958,2499214.8226137576,3153.030353257781,5863.090909090909,-517.8181818181819,7581131
1002825126,150025957.91666666,2502.4166666666665,2500.390958761798,1444.4464431211543,2086425.5270453547,2887.625403978692,5097.25,-132.08333333333334,36755640
1003154738,200135669.77777776,3327.0,3335.53890398123,1928.504643036115,3719130.158211853,3852.914473250628,6906.888888888889,-308.44444444444446,1891688
1003175827,163813918.54545453,2702.090909090909,2730.186472649698,1601.6151301907753,2565171.0252560144,3165.294488779112,5893.090909090909,-611.2727272727273,21994554
