sensor_1,sensor_2,sensor_3,sensor_4,sensor_5,sensor_6,sensor_7,sensor_8,sensor_9,sensor_10
259.0,-262.0,,-318.0,-446.0,-1894.0,-455.0,308.0,-686.0,-137.0
323.0,-206.0,,-368.0,-385.0,-2082.0,-324.0,-73.0,-622.0,-204.0
376.0,-285.0,,-397.0,-338.0,-2371.0,-192.0,-181.0,-560.0,-297.0
432.0,-427.0,,-425.0,-202.0,-2407.0,-206.0,521.0,-556.0,-385.0
457.0,-496.0,,-425.0,-103.0,-2120.0,-233.0,883.0,-599.0,-449.0
477.0,-454.0,,-365.0,13.0,-1776.0,-211.0,1055.0,-682.0,-504.0
511.0,-182.0,,-311.0,185.0,-1537.0,-177.0,703.0,-751.0,-546.0
551.0,181.0,,-249.0,315.0,-1423.0,-229.0,556.0,-802.0,-551.0
517.0,478.0,,-211.0,492.0,-1170.0,-220.0,448.0,-827.0,-486.0
498.0,585.0,,-194.0,609.0,-1071.0,-130.0,243.0,-827.0,-405.0
484.0,582.0,,-181.0,532.0,-1041.0,-70.0,264.0,-819.0,-274.0
422.0,483.0,,-169.0,407.0,-936.0,-85.0,-62.0,-779.0,-79.0
375.0,266.0,,-182.0,234.0,-1036.0,-141.0,140.0,-718.0,115.0
331.0,-55.0,,-228.0,89.0,-1285.0,-132.0,201.0,-659.0,333.0
274.0,-398.0,,-265.0,116.0,-1348.0,-51.0,138.0,-607.0,530.0
231.0,-491.0,,-304.0,171.0,-857.0,93.0,114.0,-553.0,699.0
198.0,-511.0,,-335.0,242.0,-492.0,123.0,-162.0,-506.0,865.0
184.0,-371.0,,-376.0,295.0,-542.0,-13.0,92.0,-454.0,1008.0
129.0,24.0,,-414.0,210.0,-239.0,-70.0,-155.0,-393.0,1093.0
107.0,540.0,,-425.0,149.0,210.0,-19.0,-212.0,-364.0,1118.0
142.0,953.0,,-420.0,120.0,181.0,35.0,147.0,-383.0,1123.0
116.0,1033.0,,-394.0,71.0,-659.0,60.0,539.0,-431.0,1087.0
131.0,839.0,,-358.0,142.0,-1568.0,89.0,853.0,-465.0,1000.0
149.0,501.0,,-303.0,205.0,-1844.0,101.0,-11.0,-461.0,879.0
183.0,178.0,,-260.0,194.0,-2176.0,47.0,-709.0,-434.0,726.0
176.0,-252.0,,-264.0,187.0,-2467.0,-17.0,-1001.0,-413.0,574.0
141.0,-614.0,,-300.0,62.0,-2558.0,14.0,-1064.0,-423.0,455.0
141.0,-878.0,,-349.0,-89.0,-2497.0,130.0,-1051.0,-456.0,330.0
116.0,-969.0,,-381.0,-172.0,-1866.0,145.0,-1151.0,-470.0,162.0
143.0,-899.0,,-383.0,-258.0,-1371.0,99.0,-655.0,-442.0,-22.0
100.0,-894.0,,-359.0,-214.0,-1260.0,73.0,-485.0,-411.0,-142.0
68.0,-789.0,,-318.0,-95.0,-1068.0,97.0,-443.0,-414.0,-163.0
58.0,-795.0,,-283.0,-42.0,-940.0,190.0,-746.0,-423.0,-129.0
37.0,-836.0,,-244.0,22.0,-753.0,294.0,-1184.0,-389.0,-71.0
-27.0,-891.0,,-216.0,-1.0,-753.0,359.0,-986.0,-286.0,7.0
-120.0,-832.0,,-206.0,-143.0,-1042.0,269.0,-606.0,-193.0,100.0
-96.0,-511.0,,-180.0,-279.0,-1316.0,182.0,-14.0,-153.0,170.0
-132.0,-235.0,,-151.0,-426.0,-1668.0,204.0,-35.0,-130.0,220.0
-163.0,-15.0,,-93.0,-441.0,-1919.0,283.0,-175.0,-103.0,217.0
-212.0,132.0,,-54.0,-284.0,-1945.0,342.0,-410.0,-62.0,181.0
-261.0,520.0,,-52.0,-167.0,-1994.0,311.0,-984.0,-38.0,171.0
-297.0,973.0,,-28.0,-60.0,-2057.0,319.0,-1289.0,-10.0,157.0
-370.0,1213.0,,-3.0,-18.0,-1890.0,399.0,-1370.0,0.0,123.0
-380.0,1297.0,,27.0,-116.0,-1777.0,479.0,-923.0,-23.0,45.0
-437.0,1065.0,,41.0,-159.0,-1661.0,459.0,-958.0,-58.0,-29.0
