sensor_1,sensor_2,sensor_3,sensor_4,sensor_5,sensor_6,sensor_7,sensor_8,sensor_9,sensor_10
,165.0,241.0,537.0,,-352.0,-735.0,192.0,,
,-250.0,425.0,613.0,,-327.0,-682.0,195.0,,
,-527.0,-874.0,194.0,,-335.0,-670.0,190.0,,
,-258.0,748.0,11.0,,-365.0,-660.0,142.0,,
,-75.0,-1389.0,478.0,,-386.0,-620.0,458.0,,
,159.0,533.0,418.0,,-310.0,-606.0,203.0,,
,645.0,-4.0,-74.0,,-281.0,-639.0,280.0,,
,423.0,-1081.0,173.0,,-375.0,-695.0,240.0,,
,352.0,836.0,456.0,,-340.0,-698.0,251.0,,
,403.0,-314.0,662.0,,-313.0,-641.0,373.0,,
,497.0,-787.0,686.0,,-302.0,-633.0,120.0,,
,707.0,-604.0,-36.0,,-333.0,-637.0,386.0,,
,-165.0,326.0,-234.0,,-342.0,-608.0,384.0,,
,-380.0,-755.0,-184.0,,-240.0,-557.0,465.0,,
,-265.0,-941.0,256.0,,-185.0,-523.0,360.0,,
,-343.0,-420.0,345.0,,-130.0,-520.0,227.0,,
,-311.0,359.0,-95.0,,-132.0,-482.0,515.0,,
,55.0,-376.0,188.0,,-148.0,-456.0,334.0,,
,378.0,-1685.0,252.0,,-127.0,-465.0,406.0,,
,354.0,1138.0,-72.0,,-91.0,-445.0,273.0,,
,388.0,-2213.0,335.0,,22.0,-411.0,347.0,,
,161.0,146.0,1012.0,,69.0,-397.0,474.0,,
,604.0,87.0,620.0,,10.0,-424.0,232.0,,
,746.0,-2071.0,483.0,,-6.0,-456.0,478.0,,
,304.0,2193.0,501.0,,16.0,-431.0,437.0,,
,-11.0,-2888.0,411.0,,58.0,-389.0,563.0,,
,34.0,1191.0,294.0,,67.0,-360.0,465.0,,
,21.0,443.0,128.0,,47.0,-354.0,389.0,,
,-595.0,-3225.0,161.0,,94.0,-380.0,674.0,,
,-798.0,2803.0,-99.0,,133.0,-388.0,528.0,,
