segment_id,segment_id,media_sensor_1,media_sensor_2,media_sensor_3,media_sensor_4,media_sensor_5,media_sensor_6,media_sensor_7,media_sensor_8,media_sensor_9,media_sensor_10,desv_sensor_1,desv_sensor_2,desv_sensor_3,desv_sensor_4,desv_sensor_5,desv_sensor_6,desv_sensor_7,desv_sensor_8,desv_sensor_9,desv_sensor_10,time_to_eruption
1000015382,1000015382,0.3822436292728454,2.2665630691596905,2.1922134631089483,-0.1480308661522308,-0.2631289478508691,1.6300894985083585,-0.6151897468375527,-0.1779637006049899,-0.4027766203896601,0.8967517208046533,111.55332179742284,451.7411105061771,373.9237641151409,231.8124643323365,129.5044319524864,222.2946417421564,269.6780445925618,319.99940561672935,176.08781412964643,249.02428641188496,16258654
1000554676,1000554676,-3.828119531341145,7.063965600573324,-1.9447342544290929,4.876318728021199,-0.0074665422242962,-2.306528224529591,4.12604789920168,1.0316994716754722,2.560542121206815,-7.416676388726855,532.1607230025645,1650.496993718862,476.5852753484729,641.9793952711317,351.12298288621963,685.1311478874306,556.4297787936308,429.8923443473495,601.5052388430504,1054.6550041259434,6347792
1000745424,1000745424,8.291928467858869,-1.6464225596240063,-1.3286111898135031,-10.412409793170111,-3.6973883768603857,-3.728004533257779,2.817886368560524,8.513891435142748,3.849454150325133,-1.4919584673588773,608.8233177009149,1939.6681150472396,575.5040441759608,738.9794623433914,390.7197634810393,693.8315785433088,567.5904937694128,415.974105457529,699.144457069857,1228.9493349088204,5120693
1001461087,1001461087,2.0715821402976617,1.19478008699855,-4.365760570657156,3.556874052099132,0.2489291845135914,-11.649355844069266,-3.105931567807203,-0.2820786320227996,1.7483041949300846,-1.3734437759370677,414.2931948422258,508.1668812605613,521.1714991091147,354.4584828572381,201.33980762191152,660.1152392549552,579.0460811066616,736.3046038474741,372.6461806881954,736.2131724716389,10393161
1001732002,1001732002,0.9041015983066948,-4.544324261262313,-1.2327627872868785,0.5218579690338494,0.7496875052082466,0.8213863102281629,-6.2179630339494345,3.6997050049165847,0.8430359494008434,32.04771587140214,289.8619211567408,507.8883202432339,227.5244537492953,248.35752547430732,226.0283732763301,259.91817163603264,313.16156047316963,292.1449838489096,283.3755125774682,907.733048206625,20549733
1002275321,1002275321,-0.6634389426842886,,-0.7987366877218713,0.6889718504691589,-0.3608273195446742,-1.954450759154014,-2.2116964717254715,,-2.901701638306028,-1.1877135381076982,267.6840329407667,,234.56025812657185,317.3013157760479,182.11503132583223,267.5866575059976,337.95815788919333,,317.8035468187924,576.48995606721,31353326
1002575641,1002575641,1.6601556640722654,-0.7651539141014316,-1.923517941367644,-2.8289361843969267,1.6717221379643672,5.9748004199930005,-0.3140280995316745,-2.1006983216946384,0.628839517924833,-6.349194180096998,507.0568720770572,1138.9720526991564,411.0769935998169,450.9980741311615,302.2409497104077,249.0276212892269,328.9480320426148,287.8894570716551,534.5180354953276,1115.2020244458215,9924307
1002609771,1002609771,-0.0395326744554257,-2.7551540807653208,,0.1180980316994716,,5.437392710121498,2.744104264928918,-2.960450659155681,-1.6084731921134647,-7.522057965700571,320.2453500112192,433.01620462304106,,347.8043116743798,,978.3768265266858,609.7049056849398,844.5024933567831,333.0533679020083,735.5351386468707,44906449
1002624617,1002624617,3.318544690921818,-10.278162030632824,0.6671388810186497,-4.28837852702455,,-1.3630939484341928,-3.8507524874585424,9.29591173480442,6.470775487075215,-3.5928401193313446,488.0109288505625,1546.7246002196368,426.6200658684831,577.2098955779481,,633.3870403057313,464.1440571720617,342.0148818177154,545.3650228211807,990.5011464496488,8004890
1002789083,1002789083,3.5180913651439143,-1.7193046782553625,2.53422442959284,-5.667888868518858,,4.665738904351594,-8.584806919884668,-11.0341994300095,0.7299211679805336,3.8046256133710714,381.9824591655971,720.3518417242298,350.6113814460424,353.882655292718,,809.9903500665864,565.496494841922,724.4284014520548,323.4306620274926,696.395398421228,7581131
1002825126,1002825126,-0.4726421226312894,-0.0040165997233379,-0.1371643805936567,-0.0536657722371293,0.0276828719521341,-3.256695721737971,-0.3585273578773687,-1.3770937151047482,-0.5597740037666039,-1.116598056699055,97.01157382343992,382.998670450956,94.1953494196279,109.72177596054892,113.87864586324262,262.7022770606964,197.41673187108012,213.8601966190998,108.88202651421518,206.27741289664567,36755640
1003154738,1003154738,-3.22149630839486,,,20.69248845852569,0.7113381443642606,-3.538407693205113,-7.33157780703655,,1.796936717721371,-2.259145680905318,275.6851661561929,,,583.530063794268,190.1394033499571,507.8454014057735,344.82572845471594,,430.02474630105047,614.2045880044614,1891688
